Ref,MPN,Value,Description
C27,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDDAUX4 bypass
C28,GRM155R71C104KA88D,100nF/16V/X7R,U1 VDDAUX4 bypass
C29,GRM155R71C104KA88D,100nF/16V/X7R,U5 DDR4 VDDQ bypass (1.2 V)
C30,GRM155R71C104KA88D,100nF/16V/X7R,U5 DDR4 VDDQ bypass (1.2 V)
C31,GRM155R71C104KA88D,100nF/16V/X7R,U5 DDR4 VDDQ bypass (1.2 V)
C32,GRM155R71C104KA88D,100nF/16V/X7R,U5 DDR4 VDDQ bypass (1.2 V)
C33,GRM155R71C104KA88D,100nF/16V/X7R,U5 DDR4 VDDQ bypass (1.2 V)
C34,GRM155R71C104KA88D,100nF/16V/X7R,U5 DDR4 VDDQ bypass (1.2 V)
C35,GRM155R71C104KA88D,100nF/16V/X7R,U5 DDR4 VDDQ bypass (1.2 V)
C36,GRM155R71C104KA88D,100nF/16V/X7R,U5 DDR4 VDDQ bypass (1.2 V)
C37,GRM188R60J106KE47D,10µF/6.3V/X5R,U5 DDR4 VDDQ bulk
C38,GRM188R60J106KE47D,10µF/6.3V/X5R,U5 DDR4 VDDQ bulk
C39,GRM155R71C104KA88D,100nF/16V/X7R,U5 DDR4 VPP bypass (2.5 V activation)
C40,GRM155R71C104KA88D,100nF/16V/X7R,U5 DDR4 VPP bypass (2.5 V activation)
C41,GRM155R72A104KE14D,100nF/100V/X7R,U8 DRV8353 VM (motor bus) bypass
C42,GRM155R72A104KE14D,100nF/100V/X7R,U8 DRV8353 VM (motor bus) bypass
C43,GRM155R72A104KE14D,100nF/100V/X7R,U8 DRV8353 VM (motor bus) bypass
C44,GRM155R72A104KE14D,100nF/100V/X7R,U8 DRV8353 VM (motor bus) bypass
C45,GRM155R71C104KA88D,100nF/16V/X7R,U8 DRV8353 DVDD bypass (3.3 V)
C46,GRM155R71C104KA88D,100nF/16V/X7R,U8 DRV8353 DVDD bypass (3.3 V)
C47,GRM155R72A104KE14D,100nF/100V/X7R,DRV8353 bootstrap caps (CBST phase A/B/C — connect to BST/SW pins when phase nets added)
C48,GRM155R72A104KE14D,100nF/100V/X7R,DRV8353 bootstrap caps (CBST phase A/B/C — connect to BST/SW pins when phase nets added)
C49,GRM155R72A104KE14D,100nF/100V/X7R,DRV8353 bootstrap caps (CBST phase A/B/C — connect to BST/SW pins when phase nets added)
C50,CGA5L1X5R1H476M250AC,100µF/50V,VM motor bus bulk capacitor (50 V, near power input)
C51,CGA5L1X5R1H476M250AC,100µF/50V,VM motor bus bulk capacitor (50 V, near power input)
C52,GRM155R71C104KA88D,100nF/16V/X7R,U10 DP83822 3.3 V analog (AVD) bypass
C53,GRM155R71C104KA88D,100nF/16V/X7R,U10 DP83822 3.3 V analog (AVD) bypass
C54,GRM155R71C104KA88D,100nF/16V/X7R,U10 DP83822 VDDIO (1.8 V) bypass
C55,GRM155R71C104KA88D,100nF/16V/X7R,U10 DP83822 VDDIO (1.8 V) bypass
C56,GRM155R71C104KA88D,100nF/16V/X7R,U7 SiT9120 oscillator VDD bypass
C57,GRM155R71C104KA88D,100nF/16V/X7R,U2 MPM3833C output filter bypass
C58,GRM155R71C104KA88D,100nF/16V/X7R,U2 MPM3833C output filter bypass
C59,GRM188R61C106MAALD,10µF/16V/X5R,U2 3.3 V output bulk cap
C60,GRM155R71C104KA88D,100nF/16V/X7R,U3 MPM3610 output filter bypass
C61,GRM155R71C104KA88D,100nF/16V/X7R,U3 MPM3610 output filter bypass
C62,GRM188R61C106MAALD,10µF/16V/X5R,U3 VDD_CORE output bulk cap
J1,1935161,2-pin screw terminal 5.08mm,J1 — 12V power input connector (place near board edge)
J2,87606-306LF,6-pin 2×3 JTAG/SWD header 2.54mm,J2 — JTAG/SWD debug header
